source	target	value	source	datePublication	dateConsultation
Claude Perdriel	Sophia Publications	50			
Claude Perdriel	Groupe Perdriel	93			
Sophia Publications	L'histoire	100	lemonde.fr	23/06/2016	22/10/2016
Sophia Publications	Historia	100	strategies.fr	14/11/2014	28/06/2016
Groupe Perdriel	Challenges	100	strategies.fr	14/11/2014	28/06/2016
Groupe Perdriel	Sciences & Avenir	100	strategies.fr	14/11/2014	28/06/2016
Prisa	Le Monde libre	20			
Xavier Niel	Le Monde libre	40	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Matthieu Pigasse	Le Monde libre	40	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Le Monde libre	Le Monde SA	73	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Le Monde libre	L'Obs	99	lefigaro.fr	23/11/2016	23/11/2016
Le Monde SA	Prier	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	M, le magazine du Monde	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Le Monde	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Télérama	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Courrier international	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Le Monde des religions	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	La Vie	100	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Le Monde diplomatique	51	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Manière de voir	51	sdllemonde.fr et lemonde.fr	06/10/2017	14/05/2016 et 16/10/2017
Le Monde SA	Huffingtonpost.fr	34	lexpress.fr	24/02/2015	10/07/2016
Les Amis du Monde diplomatique	Le Monde diplomatique	24,5			
Association Günter-Holzmann	Le Monde diplomatique	24,5			
Les Amis du Monde diplomatique	Manière de voir	24,5			
Association Günter-Holzmann	Manière de voir	24,5			
Matthieu Pigasse	Les Nouvelles Éditions	78			
AOL	Huffington Post	100			
Huffington Post	Huffingtonpost.fr	51	lexpress.fr	24/02/2015	10/07/2016
Les Nouvelles Éditions	Huffingtonpost.fr	11	lexpress.fr	24/02/2015	10/07/2016
Les Nouvelles Éditions	Radio Nova	100	lesechos.fr	22/05/2015	14/05/2016
Les Nouvelles Éditions	Les Inrockuptibles	100	lesechos.fr	22/05/2015	14/05/2016
Les Nouvelles Éditions	Vice.com	<50	lemonde.fr	11/03/2016	10/07/2016
Serge Dassault	Groupe Dassault	100			
Groupe Dassault	Groupe Figaro	100			
Groupe Figaro	Le Figaro	100	dassault.fr et offremedia.com	03/10/2017	14/05/2016 et 16/10/2017
Groupe Figaro	Figaro Magazine	100	dassault.fr et offremedia.com	03/10/2017	14/05/2016 et 16/10/2017
Groupe Figaro	Le Particulier	100	dassault.fr et offremedia.com	03/10/2017	14/05/2016 et 16/10/2017
Groupe Figaro	La Lettre de l'Expansion	100	dassault.fr et offremedia.com	03/10/2017	14/05/2016 et 16/10/2017
Bernard Arnault	LVMH	46,6			
LVMH	Le Parisien	100	lvmh.fr	31/12/2015	28/06/2016
LVMH	Le Parisien Magazine	100	lvmh.fr	31/12/2015	28/06/2016
LVMH	Le Parisien économie	100	lvmh.fr	31/12/2015	28/06/2016
LVMH	Aujourd'hui en France	100	lvmh.fr	31/12/2015	28/06/2016
