id	nom	typeLibelle	typeCode	rangChallenges	mediaType	mediaPeriodicite	mediaEchelle	commentaire
664430	Claude Perdriel	Personne physique	1	359				
986171	Sophia Publications	Personne morale	2					
2515583	Groupe Perdriel	Personne morale	2					
8368175	L'histoire	Média	3		GPE	Mensuel		
5569127	Historia	Média	3		GPE	Mensuel		
7640021	Challenges	Média	3		GPE	Hebdomadaire		
4964365	Sciences & Avenir	Média	3		GPE	Mensuel		
75945	L'Opinion	Média	3		GPE	Quotidien		
7304911	Prisa	Personne morale	2					
5522126	Xavier Niel	Personne physique	1	13				
2272582	Matthieu Pigasse	Personne physique	1					
2650890	Les Nouvelles Éditions indépendantes	Personne morale	2					
5804817	Le Nouveau Monde	Personne morale	2					
8491953	Le Monde libre	Personne morale	2					
4583345	Le Monde SA	Personne morale	2					
4595631	L'Obs	Média	3		GPE	Hebdomadaire		
9827430	Prier	Média	3		GPE	Mensuel		
2450468	M, le magazine du Monde	Média	3		GPE	Hebdomadaire		
2126720	Le Monde	Média	3		GPE	Hebdomadaire		
8862514	Télérama	Média	3		GPE	Mensuel		
3362172	Courrier international	Média	3		GPE	Hebdomadaire		
8339995	Le Monde des religions	Média	3		GPE	Mensuel		
3483368	La Vie	Média	3		GPE	Hebdomadaire		
7537897	Le Monde diplomatique	Média	3		GPE	Mensuel		
9392493	Manière de voir	Média	3		GPE	Bimestriel		
9916958	Huffingtonpost.fr	Média	3		Site			Pure player
7598341	AOL	Personne morale	2					
3014728	Huffington Post	Personne morale	2					
7330693	Les Nouvelles Éditions	Personne morale	2					
7436282	Radio Nova	Média	3		Radio		National	
3876713	Les Inrockuptibles	Média	3		GPE	Hebdomadaire		
4759911	Vice.com	Média	3		Site			Pure player
4065414	Les Amis du Monde diplomatique	Personne morale	2					
4279	Association Günter-Holzmann	Personne morale	2					
4789634	Famille Dassault	Personne physique	1	7				
5004085	Groupe Dassault	Personne morale	2					
7612020	Groupe Figaro	Personne morale	2					
8710696	Le Figaro	Média	3		GPE	Quotidien		
5830716	Figaro Magazine	Média	3		GPE	Hebdomadaire		
3715722	Le Particulier	Média	3		GPE	Mesuel		
6627353	La Lettre de l'Expansion	Média	3		GPE	Mensuel		
9872147	Bernard Arnault	Personne physique	1	1				
8351501	LVMH	Personne morale	2					
3090010	Le Parisien	Média	3		GPE	Quotidien		
8674502	Le Parisien Week-End	Média	3		GPE	Hebdomadaire		
2693423	Le Parisien économie	Média	3		GPE	Hebdomadaire		
1854047	Aujourd'hui en France	Média	3		GPE	Quotidien		
4437708	Groupe Les Échos	Personne morale	2					
5073353	Les Échos	Média	3		GPE	Quotidien		
8518142	Investir	Média	3		GPE	Hebdomadaire		
3636411	Investir Magazine	Média	3		GPE	Mensuel		
5841144	Les Échos Week-End	Média	3		GPE	Hebdomadaire		
389863	Radio Classique	Média	3		Radio	National		
9453900	Famille Bettencourt	Personne physique	1	4				
5362046	Nicolas Beytout	Personne physique	1					
7234718	Patrick Drahi	Personne physique	1	12				
198007	Altice	Personne morale	2					
2587538	Altice France	Personne morale	2					
8053822	L'Express	Média	3		GPE	Hebdomadaire		
673658	Libération	Média	3		GPE	Quotidien		
1602467	NextRadioTV	Personne morale	2					
2300238	BFM TV	Média	3		Télévision			Gratuit
9320541	RMC Découverte	Média	3		Télévision			Gratuit
7462423	RMC	Média	3		Radio		National	
7194126	BFM Business	Média	3		Radio		National	
7246044	Numéro 23	Média	3		Télévision			Gratuit
9191450	Arnaud Lagardère	Personne physique	1	361				
564965	Qatar Investment Authority	Personne morale	2					
4612410	Lagardère SCA	Personne morale	2					
436977	Lagardère Active	Personne morale	2					
3844350	Le Journal du dimanche	Média	3		GPE	Hebdomaire		
215162	Paris Match	Média	3		GPE	Hebdomaire		
