id	origine	qualificatif	valeur	cible	commentaire
45	Abdoul Cadjee	égal à	100.00%	Groupe Cadjee	
34	Akram Safa	égal à	100.00%	Privinvest	
28	Ariane de Rothschild	contrôle		Lampsane Investissement SA	
27	Arnaud Lagardère	égal à	11.00%	Lagardère SA	
19	Ayant droit de Bernard Tapie	égal à	0.00%	Groupe La Provence	
32	Bernard Arnault	égal à	47.00%	LVMH	
43	Bernard Arnault	participe		Groupe L’Opinion	
44	Christian Latouche	égal à	100.00%	Fiducial	
36	Claude Perdriel	égal à	100.00%	Les éditions Croque Futur	
13	Claude Perdriel	participe		Groupe L’Opinion	
21	Claude Perdriel	contrôle		Groupe Perdriel	
6	Daniel Křetínský	égal à	50.00%	Czech Media Invest	
47	Daniel Křetínský	égal à	5.00%	Groupe TF1	
24	Édouard Coudurier	contrôle		Groupe Télégramme	
33	Famille Baudecroux	égal à	79.10%	NRJ Group	
17	Famille Baylet	égal à	68.00%	Groupe La Dépêche	
14	Famille Bettencourt	participe		Groupe L’Opinion	
5	Famille Bouygues	égal à	24.00%	Bouygues	
11	Famille Dassault	égal à	100.00%	Groupe Dassault	
22	Famille Hurbain	contrôle		Groupe Rossel	
48	Famille Jeandot	contrôle		Groupe Jeandot	
23	Famille Lemoine	égal à	80.00%	Groupe Sud Ouest France	
4	Famille Mohn	contrôle		Bertelsmann	
20	Famille Saint-Cricq	égal à	15.00%	Groupe NRCO	
7	Franck Julien	contrôle		Edi Invest	
2	François Pinault	égal à	57.00%	Artémis	
10	Georges Ghosn	égal à	100.00%	Ghosn Capital	
25	Jean Christophe Tortora	contrôle		Hima Groupe	
16	Ken Fisher	participe		Groupe L’Opinion	
30	Madison Cox	égal à	100.00%	Berlys Media	
31	Matthieu Pigasse	égal à	78.00%	Combat Solutions	
15	Nicolas Beytout	participe		Groupe L’Opinion	
1	Patrick Drahi	égal à	92.00%	Altice	
8	Philippe Hersant	égal à	100.00%	Éditions Suisses Holding	
49	Rodolphe Saadé	égal à	73.00%	CMA CGM	
52	Rodolphe Saadé	égal à	100.00%	Altice Média	
9	Vincent Bolloré	contrôle		Bolloré	
29	Xavier Niel	contrôle		Fonds pour l'indépendance de la presse	
51	Xavier Niel	contrôle		NJJ	
38	Xavier Niel	contrôle		Fonds pour l'indépendance de la presse	
51	Xavier Niel	contrôle		NJJ	
