origine	valeur	cible	source	datePublication	dateConsultation
Claude Perdriel	50	Sophia Publications			
Claude Perdriel	53	Groupe Perdriel			
Renault	40	Groupe Perdriel	lemonde.fr	13/12/2017	22/7/2018
Sophia Publications	100	L'histoire	lemonde.fr	23/06/2016	22/10/2016
Sophia Publications	100	Historia	strategies.fr	14/11/2014	28/06/2016
Groupe Perdriel	100	Challenges	strategies.fr	14/11/2014	28/06/2016
Groupe Perdriel	100	Sciences & Avenir	strategies.fr	14/11/2014	28/06/2016
Prisa	20	Le Monde libre			
Xavier Niel	40	Le Monde libre	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Matthieu Pigasse	40	Le Monde libre	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Le Monde libre	73	Le Monde SA	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
Le Monde libre	99	L'Obs	lefigaro.fr	23/11/2016	23/11/2016
Le Monde SA	100	Prier	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	M, le magazine du Monde	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	Le Monde	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	Télérama	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	Courrier international	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	Le Monde des religions	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	100	La Vie	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	51	Le Monde diplomatique	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	51	Manière de voir	sdllemonde.fr, lemonde.fr	06/10/2017	14/05/2016 , 16/10/2017
Le Monde SA	34	Huffingtonpost.fr	lexpress.fr	24/02/2015	10/07/2016
Les Amis du Monde diplomatique	24,5	Le Monde diplomatique			
Association Günter-Holzmann	24,5	Le Monde diplomatique			
Les Amis du Monde diplomatique	24,5	Manière de voir			
Association Günter-Holzmann	24,5	Manière de voir			
Matthieu Pigasse	78	Les Nouvelles Éditions			
AOL	100	Huffington Post			
Huffington Post	51	Huffingtonpost.fr	lexpress.fr	24/02/2015	10/07/2016
Les Nouvelles Éditions	11	Huffingtonpost.fr	lexpress.fr	24/02/2015	10/07/2016
Les Nouvelles Éditions	100	Radio Nova	lesechos.fr	22/05/2015	14/05/2016
Les Nouvelles Éditions	100	Les Inrockuptibles	lesechos.fr	22/05/2015	14/05/2016
Les Nouvelles Éditions	<50	Vice.com	lemonde.fr	11/03/2016	10/07/2016
Famille Dassault	100	Groupe Dassault			
Groupe Dassault	100	Groupe Figaro			
Groupe Figaro	100	Le Figaro	dassault.fr, offremedia.com	03/10/2017	14/05/2016 , 16/10/2017
Groupe Figaro	100	Figaro Magazine	dassault.fr, offremedia.com	03/10/2017	14/05/2016 , 16/10/2017
Groupe Figaro	100	Le Particulier	dassault.fr, offremedia.com	03/10/2017	14/05/2016 , 16/10/2017
Groupe Figaro	100	La Lettre de l'Expansion	dassault.fr, offremedia.com	03/10/2017	14/05/2016 , 16/10/2017
Bernard Arnault	46,6	LVMH			
LVMH	100	Le Parisien	lvmh.fr	31/12/2015	28/06/2016
LVMH	100	Le Parisien Week-End	lvmh.fr	31/12/2015	28/06/2016
LVMH	100	Le Parisien économie	lvmh.fr	31/12/2015	28/06/2016
LVMH	100	Aujourd'hui en France	lvmh.fr	31/12/2015	28/06/2016
LVMH	100	Groupe Les Échos	lvmh.fr	31/12/2015	28/06/2016
Groupe Les Échos	100	Les Échos	lvmh.fr	31/12/2015	28/06/2016
Groupe Les Échos	100	Investir	lvmh.fr	31/12/2015	28/06/2016
Groupe Les Échos	100	Investir Magazine	lvmh.fr	31/12/2015	28/06/2016
Groupe Les Échos	100	Les Échos Week-End	lvmh.fr	31/12/2015	28/06/2016
Groupe Les Échos	100	Radio Classique	lvmh.fr	31/12/2015	28/06/2016
LVMH	participe	L'Opinion	challenges.fr	22/08/2014	14/05/2016
Famille Bettencourt	participe	L'Opinion	challenges.fr	22/08/2014	14/05/2016
Nicolas Beytout	participe	L'Opinion	challenges.fr	22/08/2014	14/05/2016
Claude Perdriel	participe	L'Opinion	challenges.fr	22/08/2014	14/05/2016
Patrick Drahi	61	Altice			
Altice	78	Altice France			
Altice France	100	L'Express	linformaticien.com	25/11/2015	28/06/2016
Altice France	100	Libération	linformaticien.com	25/11/2015	28/06/2016
Altice France	100	NextRadioTV	freenews.fr	23/04/2018	22/07/2018
NextRadioTV	100	BFM TV	investir.lesechos.fr	02/02/2016	14/05/2016
NextRadioTV	100	RMC Découverte	investir.lesechos.fr	02/02/2016	14/05/2016
NextRadioTV	100	RMC	investir.lesechos.fr	02/02/2016	14/05/2016
NextRadioTV	100	BFM Business	investir.lesechos.fr	02/02/2016	14/05/2016
NextRadioTV	100	Numéro 23	lepoint.fr	27/07/2017	22/07/2018
Arnaud Lagardère	7,96	Lagardère SCA			
Qatar Investment Authority	12,83	Lagardère SCA			
Lagardère SCA	100	Lagardère Active			
Lagardère Active	100	Le Journal du dimanche	lagardere.com	31/12/2015	14/05/2016
Lagardère Active	100	Paris Match	lagardere.com	31/12/2015	14/05/2016
Lagardère Active	100	Gulli	lagardere.com	31/12/2015	14/05/2016
Lagardère Active	100	Europe 1	lagardere.com	31/12/2015	14/05/2016
Lagardère Active	100	RFM	lagardere.com	31/12/2015	14/05/2016
Lagardère Active	100	Virgin Radio	lagardere.com	31/12/2015	14/05/2016
Vincent Bolloré	49,77	Financière de l'Odet			
Financière de l'Odet	64,4	Bolloré			
Bolloré	100	CNews matin	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Bolloré	20,65	Vivendi	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Vivendi	100	Canal +	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Vivendi	100	C8	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Vivendi	100	CNews	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Vivendi	100	CStar	bollore.com, vivendi.com, ozap.com	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
Iskandar Safa	100	Privinvest			
Privinvest	>50	Groupe Valmonde			
Groupe Valmonde	100	Valeurs actuelles	ozap.com	15/06/2017	16/10/2017
Groupe Valmonde	100	Mieux vivre votre argent	ozap.com	15/06/2017	16/10/2017
Yves de Chaisemartin	9	Marianne	Correspondance de la presse	19/12/2016	19/12/2016
Daniel Křetínský	50	Czech Media Invest	bfmbusiness.bfmtv.com	24/04/2018	22/07/2018
Czech Media Invest	91	Marianne	marianne.net	26/04/2018	22/07/2018
François Pinault	100	Artémis			
Artémis	100	Groupe Sebdo-Le Point			
Artémis	100	Groupe L'Agefi			
Artémis	100	Point de vue	Pressenews.fr	22/11/2017	23/11/2017
Groupe Sebdo-Le Point	100	Le Point	groupeartemis.com, agefi.fr		28/06/2016
Groupe L'Agefi	100	L'Agefi hebdo	groupeartemis.com, agefi.fr		28/06/2016
Famille Mohn	contrôle	Bertelsmann			
Bertelsmann	100	Gruner + Jahr			
Bertelsmann	75	RTL Group			
Gruner + Jahr	100	Prisma Media			
Prisma Media	100	Capital	investir.lesechos.fr	06/10/2014	14/05/2016
Prisma Media	100	Management	investir.lesechos.fr	06/10/2014	14/05/2016
Prisma Media	100	Harvard Business Review	investir.lesechos.fr	06/10/2014	14/05/2016
RTL Group	48	Groupe M6			
Groupe M6	100	M6	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Groupe M6	100	W9	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Groupe M6	100	6ter	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Groupe M6	100	RTL	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Groupe M6	100	RTL2	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Georges Ghosn	100	Ghosn Capital	strategies.fr, AFP	06/06/2018	
Ghosn Capital	100	VSD	strategies.fr, AFP	06/06/2018	
Groupe M6	100	Fun Radio	zonebourse.com, AFP	04/09/2017	14/05/2016 , 14/11/2017
Martin et Olivier Bouygues	20	Bouygues			
Bouygues	44	Groupe TF1			
Groupe TF1	100	TF1	bouygues.com, groupe-tf1.fr, votreargent.lexpress.fr	31/12/2016, 31/12/2014, 06/01/2015	28/06/2016
Groupe TF1	100	TFX	bouygues.com, groupe-tf1.fr, votreargent.lexpress.fr	31/12/2016, 31/12/2014, 06/01/2015	28/06/2016
Groupe TF1	100	LCI	bouygues.com, groupe-tf1.fr, votreargent.lexpress.fr	31/12/2016, 31/12/2014, 06/01/2015	28/06/2016
Groupe TF1	100	TF1 Séries Films	bouygues.com, groupe-tf1.fr, votreargent.lexpress.fr	31/12/2016, 31/12/2014, 06/01/2015	28/06/2016
Groupe TF1	100	TMC	bouygues.com	09/06/2016	28/06/2016
République française	15	Renault			
République française	100	La Chaîne parlementaire			
République française	100	Public Sénat			
République française	100	France Médias Monde			
République française	100	France Télévision			
République française	100	Radio France			
République française	100	Arte France			
République française	15	Renault	zonebourse.com	...	22/07/2018
France Médias Monde	100	Monte Carlo Doualiya			
France Médias Monde	100	Radio France International			
France Médias Monde	100	France 24			
France Médias Monde	13	TV5 Monde			
France Télévision	49	TV5 Monde			
France Télévision	100	France 2			
France Télévision	100	France 3			
France Télévision	100	France 5			
France Télévision	100	France 4			
France Télévision	100	France Ô			
France Télévision	contrôle	France info			
Radio France	100	France Inter			
Radio France	100	France Musique			
Radio France	100	France Culture			
Radio France	100	FIP			
Radio France	100	France Bleu			
Radio France	100	France Info			
Radio France	100	Mouv'			
Radio France	contrôle	France info			
Arte France	50	Arte			
République fédérale d'Allemagne	contrôle	ARD / ZDF			
ARD / ZDF	50	Arte Deutschland TV GmbH			
Arte Deutschland TV GmbH	50	Arte			
Les Augustins de l'Assomption	100	Bayard			
Bayard	100	La Croix			
Bayard	100	Pèlerin			
Bayard	100	Notre temps			
Jean-Paul Baudecroux	79,1	NRJ Group			
NRJ Group	100	NRJ 12	nrjgroup.fr	31/12/2015	16/05/2016
NRJ Group	100	Chérie 25	nrjgroup.fr	31/12/2015	16/05/2016
NRJ Group	100	NRJ	nrjgroup.fr	31/12/2015	16/05/2016
NRJ Group	100	Rire et Chansons	nrjgroup.fr	31/12/2015	16/05/2016
